Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Average_Spend,Family_Size,Age,Engagement,Spending_Ratio
Graduation,Single,25930.0,1,1,2013-10-10,87,6,1,2,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,15,3,3.75,3,59,0.03409090909090909,0.0005784582160348618
Graduation,Married,42693.0,1,0,2014-06-07,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,57,4,11.4,2,48,0.13333333333333333,0.001335082212957324
Graduation,Together,85606.0,0,1,2012-11-12,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0,1956,22,85.04347826086956,2,50,0.24444444444444444,0.022848598829534966
Graduation,Single,72903.0,0,0,2013-10-29,74,1067,138,750,0,19,39,1,7,5,8,4,0,1,1,1,0,0,1,2013,20,95.85714285714286,1,41,0.26666666666666666,0.027611653681553824
2n Cycle,Together,49669.0,1,0,2014-05-24,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,0,326,12,25.076923076923077,2,52,0.12244897959183673,0.0065633178981276425
PhD,Married,36778.0,1,1,2012-08-05,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,0,77,6,11.0,3,58,0.09375,0.002093586013757851
PhD,Divorced,85696.0,0,0,2013-05-03,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,1313,19,65.65,1,64,0.21348314606741572,0.015321423153669323
Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,6,4.285714285714286,1,37,0.17142857142857143,0.00273224043715847
Graduation,Married,49678.0,0,1,2013-02-02,81,229,5,56,3,2,20,2,6,2,4,7,0,0,0,0,0,0,0,315,12,24.23076923076923,2,65,0.14634146341463414,0.006340707341130055
Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,18,34.73684210526316,2,73,0.2727272727272727,0.011758417958311064
Graduation,Married,37155.0,1,0,2013-01-31,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,0,74,6,10.571428571428571,2,37,0.11538461538461539,0.001991602971256325
2n Cycle,Divorced,21282.0,1,0,2014-05-11,76,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,0,46,5,7.666666666666667,2,48,0.06493506493506493,0.00216134943382042
PhD,Single,33419.0,0,1,2013-08-17,76,56,0,12,0,0,18,2,2,0,4,7,0,0,0,0,0,0,0,86,6,12.285714285714286,2,64,0.07792207792207792,0.002573309395571514
Graduation,Widow,63285.0,0,0,2013-11-05,84,508,124,249,50,38,134,1,6,5,13,3,0,0,0,0,0,0,0,1103,24,44.12,1,81,0.2823529411764706,0.01742881521979585
Master,Together,21255.0,1,0,2014-01-21,56,29,0,25,2,2,3,4,2,1,4,4,0,0,0,0,0,0,0,61,7,7.625,2,52,0.12280701754385964,0.0028697779450508093
Graduation,Together,42162.0,1,0,2013-11-19,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0,1,145,7,18.125,2,45,0.21875,0.0034390342243199013
Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,684,19,34.2,3,70,19.0,0.012561752768544196
PhD,Married,57744.0,0,1,2013-11-12,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,0,411,14,27.4,2,72,0.15217391304347827,0.007117499350593125
Graduation,Single,26576.0,1,0,2012-10-13,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,1,27,3,6.75,2,40,0.07317073170731707,0.001015916017609211
PhD,Widow,57513.0,0,0,2013-07-06,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,0,1060,25,40.76923076923077,1,83,0.4166666666666667,0.01843029523246514
Graduation,Together,68142.0,0,1,2012-08-29,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,0,1459,21,66.31818181818181,2,62,0.21649484536082475,0.02141085658101346
Graduation,Married,7500.0,0,1,2012-08-29,61,5,2,3,3,0,5,1,1,0,2,8,0,0,0,0,0,0,0,18,3,4.5,2,47,0.04838709677419355,0.0023996800426609784
Graduation,Together,83145.0,0,0,2012-09-22,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,1,1833,25,70.5,1,52,1.6666666666666667,0.022045558415317634
Master,Married,54197.0,0,1,2014-04-03,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0,237,10,21.545454545454547,2,66,0.5882352941176471,0.004372855086903576
PhD,Single,23091.0,1,1,2014-05-28,98,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,0,48,6,6.857142857142857,3,63,0.06060606060606061,0.0020786419539234368
Graduation,Married,46049.0,1,1,2013-07-21,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,1,515,16,30.294117647058822,3,50,1.3333333333333333,0.011183496199782844
Graduation,Together,56715.0,0,0,2012-12-05,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,0,1020,14,68.0,1,52,0.2641509433962264,0.017984343042527683
Graduation,Married,79410.0,0,0,2014-05-29,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,0,0,1370,10,124.54545454545455,1,65,0.5,0.017252017982395385
Graduation,Married,57304.0,0,1,2013-03-11,61,356,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,0,1026,23,42.75,2,75,0.3709677419354839,0.017904196841462352
Graduation,Married,44375.0,0,1,2014-03-23,73,213,5,28,7,7,41,1,4,1,6,5,0,0,0,0,0,0,0,301,11,25.083333333333332,2,61,0.14864864864864866,0.006782945736434108
Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,684,19,34.2,3,70,19.0,0.012561752768544196
Graduation,Married,59594.0,0,1,2012-10-20,74,457,4,29,0,0,9,1,8,1,7,7,0,1,0,0,0,0,0,499,16,29.352941176470587,2,61,0.21333333333333335,0.008373185669938754
Graduation,Together,80685.0,0,0,2012-08-22,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,0,1004,20,47.80952380952381,1,32,0.35714285714285715,0.012443298713531468
PhD,Married,40344.0,0,1,2013-10-13,48,210,0,6,0,0,2,2,4,1,5,7,0,0,0,0,0,0,0,218,10,19.818181818181817,2,52,0.20408163265306123,0.005403395711984137
Graduation,Married,62710.0,0,1,2013-05-23,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,0,606,18,31.894736842105264,2,54,0.3333333333333333,0.009663376441134729
2n Cycle,Married,48985.0,0,1,2013-07-05,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,0,75,5,12.5,2,58,0.35714285714285715,0.0015310496876658637
Graduation,Together,35322.0,1,2,2012-08-22,34,28,9,37,12,7,13,3,2,0,4,8,0,0,0,0,0,0,0,106,6,15.142857142857142,4,58,0.17142857142857143,0.003000877615151601
Graduation,Married,77142.0,0,0,2013-05-29,54,476,75,162,29,151,97,1,4,4,8,2,0,0,0,0,0,0,0,990,16,58.23529411764706,1,78,0.2909090909090909,0.012833309567945244
Graduation,Single,81657.0,0,0,2014-01-22,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,0,1097,15,68.5625,1,57,0.21428571428571427,0.013434078718557887
Basic,Married,14421.0,0,0,2014-02-17,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,0,16,3,4.0,1,30,0.036585365853658534,0.001109416169740674
2n Cycle,Married,20130.0,0,0,2014-03-17,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,34,4,6.8,1,52,0.04,0.0016889374596393621
PhD,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,1711,15,106.9375,1,36,3.75,0.023054638550158324
Master,Married,66726.0,1,1,2014-01-12,61,349,7,35,0,0,47,3,8,2,4,7,0,1,0,0,0,0,0,438,14,29.2,3,69,0.22580645161290322,0.006564059526128854
Basic,Together,23724.0,1,0,2013-01-08,65,5,23,15,0,18,14,2,2,0,3,8,0,0,0,0,0,0,0,75,5,12.5,2,47,0.07575757575757576,0.003161222339304531
Master,Married,47353.0,0,1,2013-11-13,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,0,225,10,20.454545454545453,2,66,0.10638297872340426,0.004751446551505681
Master,Married,33444.0,1,1,2012-11-03,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,18,3,4.5,3,74,0.12,0.0005381970399162805
Graduation,Married,54386.0,0,1,2013-05-17,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,470,15,29.375,2,45,1.6666666666666667,0.008641771011454944
Graduation,Divorced,28510.0,1,1,2013-04-13,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,91,6,13.0,3,45,0.0821917808219178,0.0031917505524183647
Master,Single,90638.0,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,2525,17,140.27777777777777,1,35,0.5666666666666667,0.027857765421065987
Graduation,Together,48070.0,0,1,2013-01-13,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,0,504,16,29.647058823529413,2,76,0.47058823529411764,0.010484491689376131
Graduation,Married,43140.0,0,1,2013-01-05,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0,235,10,21.363636363636363,2,69,0.14492753623188406,0.00544725435200853
PhD,Divorced,54959.0,0,1,2013-01-19,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,1,1232,18,64.84210526315789,2,65,0.32142857142857145,0.022416302765647742
Basic,Single,15056.0,1,1,2013-05-03,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,0,88,7,11.0,3,68,0.09090909090909091,0.005844457727302916
Graduation,Single,26954.0,1,0,2014-05-08,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,17,3,4.25,2,55,0.16666666666666666,0.0006306807642366907
Graduation,Single,22327.0,1,0,2013-08-02,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,0,24,4,4.8,2,41,0.042105263157894736,0.0010748835542816195
Graduation,Married,44393.0,1,1,2013-08-22,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,0,60,5,10.0,3,61,0.05747126436781609,0.0013515339910798758
PhD,Single,62000.0,0,1,2013-08-25,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,1020,25,39.23076923076923,2,74,0.9615384615384616,0.01645134755891034
PhD,Together,31497.0,0,1,2012-12-06,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,155,8,17.22222222222222,2,64,0.34782608695652173,0.004920947361737253
2n Cycle,Married,45894.0,0,2,2014-02-27,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0,51,4,10.2,3,52,0.25,0.0011112321603660529
Master,Divorced,78579.0,0,0,2012-12-22,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,1812,15,113.25,1,56,0.4166666666666667,0.023059302621532198
Master,Widow,67369.0,0,1,2012-11-17,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,1,1461,21,66.4090909090909,2,57,0.25609756097560976,0.021686210479441886
Graduation,Divorced,58401.0,0,1,2014-04-20,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,96,5,16.0,2,66,0.08928571428571429,0.0016437793226259374
Graduation,Single,62307.0,0,1,2014-02-17,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,0,160,8,17.77777777777778,2,74,0.08421052631578947,0.0025678885536367722
Master,Married,43641.0,1,1,2013-04-22,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,139,7,17.375,3,57,0.13725490196078433,0.0031850052701526054
Master,Divorced,63841.0,0,1,2013-04-21,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,908,21,41.27272727272727,2,58,0.3230769230769231,0.014222612073556592
2n Cycle,Married,46891.0,0,1,2013-09-01,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,183,7,22.875,2,61,0.07608695652173914,0.00390258466262902
Master,Married,70091.0,1,0,2013-03-31,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,0,1161,17,64.5,2,57,1.4166666666666667,0.016563944530046226
PhD,Married,78075.0,0,0,2014-04-05,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,988,13,70.57142857142857,1,54,0.1780821917808219,0.012654336800040985
2n Cycle,Widow,59184.0,0,1,2012-09-09,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,1072,24,42.88,2,65,3.4285714285714284,0.018112697474022135
Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,174,8,19.333333333333332,3,49,8.0,0.0031746031746031746
Graduation,Married,58113.0,0,1,2013-01-25,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0,758,19,37.9,2,67,0.2835820895522388,0.013043328629934268
Master,Married,51412.0,0,1,2013-12-31,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,0,195,9,19.5,2,68,0.20930232558139536,0.003792815046778052
Graduation,Divorced,15287.0,1,0,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,31,4,6.2,2,47,0.06557377049180328,0.0020277341705913134
Master,Together,66636.0,0,0,2013-08-17,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,0,1084,16,63.76470588235294,1,69,0.24615384615384617,0.01626723892131999
Master,Married,50965.0,0,1,2013-02-20,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,685,19,34.25,2,70,0.2159090909090909,0.013440332770866852
PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,25,64.3076923076923,1,61,0.25773195876288657,0.019759155745163615
Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,43,5,7.166666666666667,1,36,2.5,0.0023430688753269396
PhD,Together,40451.0,0,2,2014-02-16,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,0,49,4,9.8,3,69,0.07272727272727272,0.0012113121724513004
Graduation,Together,36317.0,0,1,2013-05-22,53,87,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,0,133,7,16.625,2,61,0.12962962962962962,0.003662095930392643
Graduation,Together,42213.0,0,1,2013-10-12,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,0,363,13,25.928571428571427,2,69,0.13402061855670103,0.008599042971526034
Graduation,Together,65748.0,0,1,2013-04-15,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,0,545,16,32.05882352941177,2,71,0.2711864406779661,0.008289099453984091
Graduation,Together,77044.0,0,1,2013-10-27,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,0,1065,29,35.5,2,54,2.230769230769231,0.013823090401713284
Graduation,Together,74918.0,0,0,2013-03-12,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,0,2047,20,97.47619047619048,1,57,0.25316455696202533,0.027322842002696246
Graduation,Married,56721.0,1,1,2012-10-31,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0,0,0,0,0,296,10,26.90909090909091,3,54,0.15384615384615385,0.005218433764676845
Graduation,Single,42160.0,1,1,2013-06-28,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,0,1,140,7,17.5,3,51,0.25925925925925924,0.0033206043499916984
Graduation,Single,61559.0,0,1,2013-07-17,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,530,16,31.176470588235293,2,61,1.7777777777777777,0.008609486679662118
PhD,Together,33629.0,1,1,2012-08-08,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,0,152,8,16.88888888888889,3,63,0.16,0.004519774011299435
PhD,Together,68682.0,0,0,2013-10-06,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,1598,23,66.58333333333333,1,35,0.40350877192982454,0.02326631044072041
Graduation,Single,34377.0,0,1,2013-01-19,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0,114,6,16.285714285714285,2,63,0.10714285714285714,0.0033160742335214383
Basic,Single,8940.0,1,0,2012-08-22,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,101,7,12.625,2,40,0.2692307692307692,0.011296275584386534
Graduation,Married,26228.0,1,0,2013-09-22,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,25,3,6.25,2,53,0.058823529411764705,0.0009531434671546761
2n Cycle,Divorced,77297.0,0,0,2013-01-26,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,0,789,21,35.86363636363637,1,69,0.24705882352941178,0.010207249864162073
Graduation,Married,40211.0,1,1,2013-07-30,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,87,5,14.5,3,45,0.16129032258064516,0.002163533273649657
PhD,Widow,33438.0,1,1,2013-09-22,81,62,1,16,3,2,6,4,2,1,4,5,0,0,0,0,0,0,0,90,7,11.25,3,68,0.08536585365853659,0.0026914680462932503
PhD,Married,75032.0,0,1,2013-04-28,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,0,1215,18,63.94736842105263,2,67,0.24,0.016192875134940627
PhD,Single,61284.0,0,0,2013-10-12,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,0,811,21,36.86363636363637,1,71,0.2727272727272727,0.013233254466835279
Graduation,Married,22518.0,1,0,2012-10-22,36,11,7,12,2,2,27,2,2,1,2,5,1,0,0,0,0,0,1,61,5,10.166666666666666,2,40,0.13513513513513514,0.002708823660020427
Master,Married,54730.0,0,1,2013-08-15,64,318,3,17,4,7,56,5,4,1,8,4,0,0,0,0,0,0,0,405,13,28.928571428571427,2,51,0.2,0.007399828250899855
Master,Married,38452.0,1,1,2014-03-30,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,72,6,10.285714285714286,3,71,0.09523809523809523,0.0018724156762801342
Graduation,Divorced,44421.0,1,1,2013-02-15,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,0,189,9,18.9,3,55,0.16666666666666666,0.004254648597541759
PhD,Together,38197.0,1,0,2013-06-29,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,0,40,4,8.0,2,40,0.04597701149425287,0.0010471752447772135
Graduation,Divorced,41986.0,0,1,2014-02-09,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,63,7,7.875,2,48,0.4375,0.0015004644294662633
Graduation,Together,28427.0,1,0,2013-03-21,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,52,5,8.666666666666666,2,43,0.07352941176470588,0.0018291824961305756
PhD,Together,37395.0,1,0,2014-05-02,47,18,0,9,0,1,11,1,1,0,3,6,0,0,0,0,0,0,0,39,4,7.8,2,50,0.08333333333333333,0.0010428922879452348
Graduation,Married,64722.0,1,0,2014-05-26,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,0,805,21,36.59090909090909,2,55,0.4375,0.01243761877539669
Master,Together,55249.0,0,1,2014-04-17,81,97,1,19,2,0,11,1,2,1,4,3,0,0,0,0,0,0,0,130,7,16.25,2,70,0.08536585365853659,0.002352941176470588
Graduation,Together,84906.0,0,0,2013-10-04,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,1631,23,67.95833333333333,1,54,0.23232323232323232,0.019209252476238708
Graduation,Married,28691.0,1,0,2013-07-04,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,34,4,6.8,2,37,0.07017543859649122,0.0011849993029415865
Graduation,Single,44213.0,1,1,2013-11-29,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0,152,8,16.88888888888889,3,74,0.16326530612244897,0.0034378251232641244
Basic,Single,25707.0,1,0,2014-01-18,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,0,0,21,4,4.2,2,42,0.21052631578947367,0.0008168663451065816
PhD,Married,59062.0,2,1,2013-10-03,74,46,1,12,3,0,9,2,2,0,3,4,0,0,0,0,0,0,0,71,5,11.833333333333334,4,59,0.06666666666666667,0.0012021062255557625
Graduation,Single,76624.0,0,1,2014-05-24,68,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,0,0,899,22,39.08695652173913,2,64,0.3188405797101449,0.011732463295269169
Master,Together,66000.0,0,0,2014-04-20,36,244,51,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,0,711,9,71.1,1,79,0.24324324324324326,0.010772564052059817
PhD,Together,27683.0,1,0,2012-08-04,90,152,9,121,12,12,45,4,6,2,4,8,0,0,0,0,0,0,0,351,12,27.0,2,48,0.13186813186813187,0.012678803641092327
Graduation,Divorced,1730.0,0,0,2014-05-18,65,1,1,3,1,1,1,15,0,0,0,20,0,0,0,0,0,0,0,8,0,8.0,1,55,0.0,0.00462160600808781
Basic,Single,7500.0,1,0,2012-12-03,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,0,119,7,14.875,2,34,0.109375,0.01586455139314758
Graduation,Together,40521.0,1,1,2013-04-05,82,12,0,5,0,0,4,1,0,1,2,5,0,0,0,0,0,0,0,21,3,5.25,3,58,0.03614457831325301,0.0005182370070578945
PhD,Together,20427.0,1,0,2014-03-24,63,5,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,10,3,2.5,2,53,0.046875,0.0004895241824946152
Graduation,Married,65106.0,0,1,2014-05-24,55,790,19,133,12,0,19,3,8,3,13,6,0,1,0,0,0,0,0,973,24,38.92,2,51,0.42857142857142855,0.014944629609719385
PhD,Married,69969.0,0,0,2013-08-27,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,1,1536,12,118.15384615384616,1,61,0.18461538461538463,0.021952265256538518
Graduation,Married,67433.0,0,2,2013-07-16,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,0,992,24,39.68,3,74,0.46153846153846156,0.014710680072367055
PhD,Married,77766.0,0,1,2013-02-22,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,1,1529,32,46.333333333333336,2,59,0.32653061224489793,0.019661295922434967
Graduation,Married,74716.0,0,1,2013-09-12,92,133,27,421,13,195,71,2,7,3,5,4,0,0,0,0,0,0,0,860,15,53.75,2,54,0.16129032258064516,0.01151009810351058
Graduation,Divorced,68118.0,0,1,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,928,21,42.18181818181818,2,63,0.40384615384615385,0.013623218191693947
PhD,Married,55158.0,1,1,2012-07-30,72,293,0,87,4,11,23,4,7,2,5,7,0,0,0,0,0,0,1,418,14,27.866666666666667,3,56,0.1917808219178082,0.007578092423720517
2n Cycle,Married,62972.0,0,1,2012-08-03,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,1,587,14,39.13333333333333,2,71,0.35,0.00932145522684325
Graduation,Married,74190.0,0,1,2014-05-12,49,151,81,86,168,91,64,2,4,2,11,2,0,0,0,0,0,0,0,641,17,35.611111111111114,2,51,0.34,0.008639861977867935
Graduation,Married,39356.0,1,1,2014-03-19,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,0,0,23,3,5.75,3,50,0.13636363636363635,0.0005843941357318902
Graduation,Together,76653.0,0,0,2013-08-16,91,736,63,946,219,189,126,1,4,7,11,2,0,0,1,1,0,0,0,2279,22,99.08695652173913,1,57,0.2391304347826087,0.02973099903462311
PhD,Divorced,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,49,4,9.8,3,53,0.10526315789473684,0.0013663868826859261
PhD,Divorced,90687.0,0,0,2013-05-22,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,1779,16,104.6470588235294,1,43,0.16161616161616163,0.01961670783345095
Master,Together,73450.0,0,0,2013-12-05,85,1142,51,415,90,69,37,1,7,8,11,3,1,0,0,1,0,0,0,1804,26,66.81481481481481,1,44,0.3023255813953488,0.02456059141468462
Graduation,Married,31454.0,1,1,2013-07-06,40,28,0,11,0,0,9,3,2,0,3,8,0,0,0,0,0,0,0,48,5,8.0,3,66,0.12195121951219512,0.0015259895088221267
Graduation,Single,47139.0,1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,1,83,5,13.833333333333334,3,74,1.6666666666666667,0.0017607127704709377
Graduation,Divorced,83829.0,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,1862,17,103.44444444444444,1,51,0.21518987341772153,0.022211618752236668
PhD,Married,53378.0,1,1,2012-09-24,41,489,6,152,8,6,132,10,9,4,6,8,0,0,0,0,0,0,1,793,19,39.65,3,63,0.4523809523809524,0.014856029524719459
Graduation,Together,19656.0,1,0,2013-02-08,94,25,4,9,6,8,32,3,2,1,3,7,0,0,0,0,0,0,0,84,6,12.0,2,56,0.06315789473684211,0.004273286869817368
PhD,Married,45579.0,0,1,2013-08-20,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,0,183,9,18.3,2,78,0.8181818181818182,0.004014918824045634
2n Cycle,Single,85485.0,0,0,2014-06-21,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,1383,18,72.78947368421052,1,68,0.24324324324324326,0.016178087640081416
Graduation,Married,55956.0,0,0,2014-04-07,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,999,14,66.6,1,82,0.6086956521739131,0.017852994263452295
Master,Single,64191.0,0,1,2013-01-22,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,825,21,37.5,2,63,0.6774193548387096,0.012852068793619142
Graduation,Single,38808.0,1,0,2012-08-26,21,125,17,52,3,19,30,4,5,1,4,8,1,0,0,0,0,0,1,246,10,22.363636363636363,2,54,0.45454545454545453,0.006338735860238604
Master,Married,57183.0,1,1,2013-03-19,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0,610,17,33.888888888888886,3,60,0.3269230769230769,0.010667319529938444
Master,Divorced,23748.0,1,0,2012-11-21,97,6,6,29,12,15,8,3,2,1,3,8,0,0,0,0,0,0,0,76,6,10.857142857142858,2,58,0.061224489795918366,0.0032001347425154743
Graduation,Married,66303.0,0,1,2013-02-26,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,0,1286,18,67.6842105263158,2,55,0.3157894736842105,0.019395511583011584
Master,Married,37368.0,1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,30,3,7.5,2,51,0.6,0.0008028044635928176
